Date,Task1_Tomorrow,Task2_Tomorrow,Task3_Tomorrow,Happiness_Score,Productivity_Score,Must_Have,Should_Have,Could_Have,Wont_Have,Unhappy_Reason,Unhappy_Importance,Happy_Thing1,Happy_Thing2,Change1,Change2,Change3,Time_Wasters,Mistakes,Meals,Money_Spent,Nap_Hours,Did_Coding,Gate_Classes,Speaking_Skills,Workout,Meditation,Notes
2025-03-16,Finish report,Plan meeting,Exercise,5,2,Complete work,Review notes,Read book,Social media,Feeling tired,important,Good coffee,Team support,Be more patient,Stay focused,Exercise more,Social media scrolling,Procrastination,3,54,5,True,False,False,True,False,Team meeting went well
2025-03-17,Code review,Study algorithms,Call friend,2,4,Debug code,Practice problems,Watch tutorial,TV,Code not working,not important,Finished task,Nice weather,Improve debugging,Plan better,Rest more,YouTube,Overthinking,6,23,7,True,False,False,False,False,Need to focus more
2025-03-18,Write blog,Update resume,Shop groceries,3,4,Write draft,Edit resume,Plan meals,None,Late start,should not care,Productive morning,Good music,Wake up early,Less coffee,Stay calm,Phone games,Skipping breakfast,2,15,11,False,False,False,False,False,Busy day
2025-03-19,Prepare slides,Email team,Gym session,2,4,Finish slides,Send emails,Stretch,None,Team delay,important,New idea,Gym progress,Communicate better,Time management,Stay positive,TV shows,Late planning,3,30,3,False,False,False,True,False,Good workout
2025-03-20,Git push,Study GATE,Read article,4,1,Push code,Review notes,None,Chat,Minor bug,not important,Code success,Relaxing evening,More focus,Less haste,Learn more,Scrolling X,Overcommitting,3,10,1,False,False,False,False,False,Calm day
2025-03-21,Plan project,Meet client,Yoga,3,3,Plan outline,Prepare questions,Stretch,Gaming,Client delay,important,Client feedback,Yoga session,Be punctual,Stay calm,Exercise daily,Gaming,Procrastination,2,25,8,False,True,False,False,False,Productive meeting
2025-03-22,Test app,Write docs,Walk dog,2,1,Test feature,Start docs,None,Socializing,App crash,should not care,Fixed bug,Nice walk,Debug faster,Plan ahead,Stay active,Social media,Rushing,4,20,7,True,False,False,True,False,Learned new trick
2025-03-23,Review code,Study math,Meditation,4,3,Code check,Math problems,Meditate,None,Math confusion,not important,Code improved,Calm mind,Study harder,Be patient,Relax more,YouTube,Skipping meditation,3,15,8.5,True,False,True,False,True,Feeling refreshed
2025-03-24,Email boss,Plan week,Cook dinner,3,4,Send email,Weekly goals,Cook recipe,Gaming,No response,important,Good food,Progress made,Reply faster,Stay organized,Eat healthy,Gaming,Late start,2,30,15,False,True,False,False,False,Planned well
2025-03-25,Fix bugs,Read book,Run,5,2,Resolve bugs,Read chapter,Run 5k,None,Long debug,should not care,Run success,Book insights,Work faster,Stay fit,Read more,Social media,Debug delays,3,25,2,True,False,False,True,False,Great day
2025-03-26,Prep presentation,Call mom,Stretch,4,3,Slides done,Call mom,Stretch,None,Time crunch,not important,Family chat,Good stretch,Time manage,Stay connected,Be active,Phone games,Rushing,2,10,10,False,False,True,False,False,Balanced day